cycle,input_fire,sample_index,channel_id,sample_u16,fault_active,input_ready,mode,q_shift,current_mad,cfg_t_low,cfg_t_high,quantized,dptc_delta,bit_width,is_absolute,packer_byte_valid,packer_byte,m_axis_tvalid,m_axis_byte,m_axis_tlast,fifo_level,fifo_full,overflow
1,0,-1,0,0,0,1,0,0,0,120,500,0,0,0,0,0,0,0,0,0,0,0,0
2,0,-1,0,0,0,1,0,0,0,120,500,0,0,0,0,0,0,0,0,0,0,0,0
3,0,-1,0,0,0,1,0,0,0,120,500,0,0,0,0,0,0,0,0,0,0,0,0
4,0,-1,0,0,0,1,0,0,0,120,500,0,0,0,0,0,0,0,0,0,0,0,0
5,0,-1,0,0,0,1,0,0,0,120,500,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,2,5000,0,1,0,0,0,60,450,0,0,0,0,0,0,0,0,0,0,0,0
7,1,1,2,5001,0,1,1,2,0,60,450,0,0,0,0,0,0,0,0,0,0,0,0
8,1,2,2,5002,0,1,1,2,0,60,450,1250,0,0,0,0,0,0,0,0,0,0,0
9,1,3,2,5003,0,1,1,2,0,60,450,1250,1250,16,1,0,0,0,0,0,0,0,0
10,1,4,2,5004,0,1,1,2,0,60,450,1250,0,1,0,1,226,0,0,0,0,0,0
11,1,5,2,5005,0,1,1,2,0,60,450,1250,0,1,0,1,4,0,0,0,0,0,0
12,1,6,2,5006,0,1,1,2,0,60,450,1251,0,1,0,0,0,0,0,0,0,0,0
13,1,7,2,5007,0,1,1,2,1,60,450,1251,1,3,0,0,0,0,0,0,0,0,0
14,1,8,2,5008,0,1,1,2,1,60,450,1251,0,1,0,0,0,0,0,0,0,0,0
15,1,9,2,5009,0,1,1,2,2,60,450,1251,0,1,0,0,0,0,0,0,0,0,0
16,1,10,2,5010,0,1,1,2,2,60,450,1252,0,1,0,1,8,0,0,0,0,0,0
17,1,11,2,5010,0,1,1,2,2,60,450,1252,1,3,0,0,0,0,0,0,0,0,0
18,1,12,2,5011,0,1,1,2,3,60,450,1252,0,1,0,0,0,0,0,0,0,0,0
19,1,13,2,5012,0,1,1,2,3,60,450,1252,0,1,0,0,0,0,0,0,0,0,0
20,1,14,2,5013,0,1,1,2,3,60,450,1252,0,1,0,0,0,0,0,0,0,0,0
21,1,15,2,5014,0,1,1,2,3,60,450,1253,0,1,0,0,0,0,0,0,0,0,0
22,1,16,2,5014,0,1,1,2,3,60,450,1253,1,3,0,1,2,0,0,0,0,0,0
23,1,17,2,5015,0,1,1,2,3,60,450,1253,0,1,0,0,0,0,0,0,0,0,0
24,1,18,2,5016,0,1,1,2,3,60,450,1253,0,1,0,0,0,0,0,0,0,0,0
25,1,19,2,5016,0,1,1,2,3,60,450,1253,0,1,0,0,0,0,0,0,0,0,0
26,1,20,2,5017,0,1,1,2,3,60,450,1254,0,1,0,0,0,0,0,0,0,0,0
