cycle,input_fire,sample_index,channel_id,sample_u16,fault_active,input_ready,mode,q_shift,current_mad,cfg_t_low,cfg_t_high,quantized,dptc_delta,bit_width,is_absolute,packer_byte_valid,packer_byte,m_axis_tvalid,m_axis_byte,m_axis_tlast,fifo_level,fifo_full,overflow
1,0,-1,0,0,0,1,0,0,0,120,500,0,0,0,0,0,0,0,0,0,0,0,0
2,0,-1,0,0,0,1,0,0,0,120,500,0,0,0,0,0,0,0,0,0,0,0,0
3,0,-1,0,0,0,1,0,0,0,120,500,0,0,0,0,0,0,0,0,0,0,0,0
4,0,-1,0,0,0,1,0,0,0,120,500,0,0,0,0,0,0,0,0,0,0,0,0
5,0,-1,0,0,0,1,0,0,0,120,500,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,1,29841,0,1,0,0,0,320,900,0,0,0,0,0,0,0,0,0,0,0,0
7,1,1,1,29756,0,1,1,2,0,320,900,0,0,0,0,0,0,0,0,0,0,0,0
8,1,2,1,29806,0,1,1,2,6,320,900,7460,0,0,0,0,0,0,0,0,0,0,0
9,1,3,1,29724,0,1,1,2,12,320,900,7439,7460,16,1,0,0,0,0,0,0,0,0
10,1,4,1,29757,0,1,1,2,18,320,900,7451,-21,7,0,1,36,0,0,0,0,0,0
11,1,5,1,29713,0,1,1,2,27,320,900,7431,12,6,0,1,29,0,0,0,0,0,0
12,1,6,1,29753,0,1,1,2,34,320,900,7439,-20,7,0,1,107,0,0,0,0,0,0
13,1,7,1,29677,0,1,1,2,40,320,900,7428,8,6,0,1,134,0,0,0,0,0,0
14,1,8,1,29741,0,1,1,2,45,320,900,7438,-11,6,0,1,141,0,0,0,0,0,0
15,1,9,1,29785,0,1,1,2,52,320,900,7419,10,6,0,1,212,0,0,0,0,0,0
16,1,10,1,29806,0,1,1,2,52,320,900,7435,-19,7,0,0,0,0,0,0,0,0,0
17,1,11,1,29779,0,1,1,2,49,320,900,7446,16,7,0,1,74,0,0,0,0,0,0
18,1,12,1,29811,0,1,1,2,47,320,900,7451,11,6,0,1,27,0,0,0,0,0,0
19,1,13,1,29800,0,1,1,2,43,320,900,7444,5,5,0,1,178,0,0,0,0,0,0
20,1,14,1,29825,0,1,1,2,42,320,900,7452,-7,5,0,0,0,0,0,0,0,0,0
21,1,15,1,29901,0,1,1,2,39,320,900,7450,8,6,0,1,148,0,0,0,0,0,0
22,1,16,1,29949,0,1,1,2,38,320,900,7456,-2,3,0,1,140,0,0,0,0,0,0
23,1,17,1,29948,0,1,1,2,42,320,900,7475,6,5,0,0,0,0,0,0,0,0,0
24,1,18,1,29951,0,1,1,2,50,320,900,7487,19,7,0,1,216,0,0,0,0,0,0
25,1,19,1,29988,0,1,1,2,58,320,900,7487,12,6,0,1,76,0,0,0,0,0,0
26,1,20,1,30002,0,1,1,2,73,320,900,7487,0,1,0,0,0,0,0,0,0,0,0
